weight, oxygen_consumption
1.3568e-4, 4.2351e-4
1.4263e-4, 3.5258e-4
1.4994e-4, 4.3333e-4
2.0571e-4, 4.4337e-4
2.1267e-4, 3.1442e-4
2.1624e-4, 4.1392e-4
2.2356e-4, 2.8039e-4
2.4296e-4, 4.3333e-4
2.5119e-4, 2.0345e-4
3.1187e-4, 5.9720e-4
3.2243e-4, 3.4460e-4
3.2243e-4, 3.9538e-4
3.4463e-4, 4.4337e-4
