weight, oxygen_consumption
1.6753e-1, 8.7156e-2
1.8823e-1, 1.2012e-1
1.1616e-1, 6.6206e-2
8.3269e-2, 5.0291e-2
6.8192e-2, 5.0291e-2
7.0501e-2, 1.0232e-1
7.0501e-2, 7.5962e-2
8.6087e-2, 6.4706e-2
8.6087e-2, 6.4706e-2
6.0692e-2, 6.0408e-2
8.6087e-2, 9.7735e-2
8.9002e-2, 1.0960e-1
1.2211e-1, 8.3253e-2
1.3493e-1, 8.9176e-2
1.0688e-1, 1.0469e-1
1.0339e-1, 8.3253e-2
1.3052e-1, 1.2012e-1
1.7034e-1, 1.2290e-1
1.0868e-1, 1.1214e-1
8.3269e-2, 7.9524e-2
7.4110e-2, 6.3240e-2
1.5415e-1, 1.0960e-1
