weight, oxygen_consumption
1.4263e-5, 3.5258e-5
1.4994e-5, 4.3333e-5
1.3568e-5, 4.2351e-5
2.5119e-5, 2.0345e-5
3.1187e-5, 5.9720e-5
3.2243e-5, 3.4460e-5
2.2356e-5, 2.8039e-5
2.1267e-5, 3.1442e-5
2.1624e-5, 4.1392e-5
2.0571e-5, 4.4337e-5
2.4296e-5, 4.3333e-5
3.2243e-5, 3.9538e-5
3.4463e-5, 4.4337e-5
