weight, oxygen_consumption
1.8207e-1, 2.1793e-1
2.7148e-1, 1.5454e-1
2.2232e-1, 2.1793e-1
2.1150e-1, 3.0730e-1
2.2232e-1, 3.0034e-1
3.3150e-1, 2.0345e-1
4.6245e-1, 2.2814e-1
6.3447e-1, 3.7767e-1
4.4730e-1, 4.5365e-1
3.8507e-1, 2.3884e-1
2.9504e-1, 2.7404e-1
2.6700e-1, 2.6176e-1
1.9787e-1, 1.8563e-1
3.6027e-1, 3.2916e-1
3.5432e-1, 3.5258e-1
3.6632e-1, 3.8642e-1
3.5432e-1, 4.1392e-1
5.3718e-1, 3.7767e-1
4.9428e-1, 4.2351e-1
4.5481e-1, 3.4460e-1
4.3992e-1, 2.7404e-1
