time_d,cumulated_eggs_n
1,179.285714285714
2,381.285714285714
3,580
4,774
5,990.285714285714
6,1230.28571428571
7,1491.28571428571
8,1722
9,1910.42857142857
10,2097.28571428571
11,2153
12,2364.14285714286
13,2452.42857142857
14,2626.14285714286
15,2787.57142857143
16,2973
17,3035
18,3193.71428571429
19,3257.71428571429
20,3439.42857142857
