time_dpf,standard_length_mm
49.071,13.185
48.976,12.239
48.975,11.943
56.079,15.96
56.076,14.895
63.179,18.44
63.177,17.907
70.094,20.682
70.093,20.327
69.999,19.972
77.006,22.156
77.004,21.505
77.002,20.854
91.104,24.096
91.011,23.682
91.101,22.972
104.097,26.216
104.095,25.506
104.094,25.091
