time_dpf,standard_length_mm
48.975,11.883
48.973,11.41
49.06,9.872
56.074,14.126
56.072,13.712
55.977,12.706
62.987,15.895
63.077,15.185
70.086,18.256
70.085,17.724
70.084,17.487
76.997,19.079
76.996,18.842
91.003,21.256
91.094,20.783
104.18,22.961
103.994,22.429
